sex_F,sex_I,sex_M,length,height,shucked weight,viscera weight,shell weight
0.0,1.0,0.0,0.24,0.045,0.0315,0.0235,0.02
0.0,1.0,0.0,0.205,0.055,0.0255,0.015,0.012
0.0,1.0,0.0,0.21,0.05,0.0175,0.0125,0.015
0.0,1.0,0.0,0.39,0.095,0.0875,0.045,0.075
0.0,0.0,1.0,0.47,0.12,0.293,0.227,0.14
1.0,0.0,0.0,0.46,0.12,0.1775,0.11,0.15
0.0,1.0,0.0,0.325,0.07,0.0755,0.0255,0.045
1.0,0.0,0.0,0.525,0.16,0.3545,0.2135,0.245
0.0,1.0,0.0,0.52,0.12,0.2385,0.111,0.19
0.0,0.0,1.0,0.4,0.095,0.1335,0.06,0.1
0.0,0.0,1.0,0.485,0.13,0.2595,0.096,0.16
1.0,0.0,0.0,0.47,0.12,0.2105,0.1055,0.15
0.0,0.0,1.0,0.405,0.1,0.173,0.0915,0.11
1.0,0.0,0.0,0.5,0.14,0.2565,0.1755,0.22
0.0,0.0,1.0,0.445,0.12,0.192,0.0955,0.135
0.0,0.0,1.0,0.47,0.135,0.2765,0.12,0.17
0.0,1.0,0.0,0.245,0.06,0.042,0.014,0.025
1.0,0.0,0.0,0.505,0.125,0.246,0.13,0.175
0.0,0.0,1.0,0.45,0.105,0.18,0.1125,0.135
0.0,0.0,1.0,0.505,0.11,0.305,0.16,0.175
1.0,0.0,0.0,0.53,0.13,0.302,0.1935,0.2
0.0,0.0,1.0,0.425,0.095,0.1705,0.08,0.1
0.0,0.0,1.0,0.52,0.12,0.234,0.1315,0.185
0.0,0.0,1.0,0.475,0.12,0.234,0.1015,0.135
1.0,0.0,0.0,0.565,0.16,0.354,0.1935,0.32
1.0,0.0,0.0,0.595,0.185,0.416,0.224,0.485
1.0,0.0,0.0,0.475,0.12,0.2135,0.1155,0.17
0.0,1.0,0.0,0.31,0.07,0.063,0.0405,0.045
0.0,0.0,1.0,0.555,0.13,0.264,0.168,0.275
1.0,0.0,0.0,0.4,0.11,0.1405,0.0985,0.1
1.0,0.0,0.0,0.595,0.17,0.48,0.225,0.425
0.0,0.0,1.0,0.57,0.175,0.474,0.261,0.38
1.0,0.0,0.0,0.605,0.195,0.481,0.2895,0.315
1.0,0.0,0.0,0.6,0.15,0.4425,0.221,0.28
0.0,0.0,1.0,0.595,0.14,0.3625,0.189,0.315
1.0,0.0,0.0,0.6,0.15,0.363,0.194,0.305
1.0,0.0,0.0,0.555,0.14,0.282,0.1595,0.285
1.0,0.0,0.0,0.615,0.17,0.4695,0.2355,0.345
1.0,0.0,0.0,0.575,0.14,0.3845,0.252,0.285
0.0,0.0,1.0,0.62,0.175,0.5105,0.192,0.675
1.0,0.0,0.0,0.52,0.165,0.396,0.225,0.32
0.0,0.0,1.0,0.595,0.16,0.408,0.234,0.58
0.0,0.0,1.0,0.58,0.14,0.38,0.216,0.36
1.0,0.0,0.0,0.57,0.18,0.339,0.2225,0.44
0.0,0.0,1.0,0.625,0.14,0.4825,0.205,0.4
0.0,0.0,1.0,0.56,0.16,0.3305,0.2075,0.26
1.0,0.0,0.0,0.46,0.13,0.2205,0.114,0.165
1.0,0.0,0.0,0.575,0.16,0.3135,0.231,0.33
0.0,0.0,1.0,0.565,0.135,0.341,0.1675,0.255
0.0,0.0,1.0,0.555,0.15,0.307,0.1525,0.26
0.0,0.0,1.0,0.595,0.175,0.4015,0.254,0.39
1.0,0.0,0.0,0.625,0.165,0.507,0.318,0.39
0.0,0.0,1.0,0.695,0.19,0.588,0.3425,0.485
0.0,0.0,1.0,0.665,0.195,0.5755,0.388,0.48
0.0,0.0,1.0,0.535,0.15,0.269,0.1385,0.25
0.0,0.0,1.0,0.47,0.13,0.214,0.132,0.145
0.0,0.0,1.0,0.47,0.13,0.201,0.133,0.165
1.0,0.0,0.0,0.475,0.125,0.2775,0.085,0.155
0.0,1.0,0.0,0.36,0.095,0.105,0.046,0.075
0.0,0.0,1.0,0.55,0.145,0.328,0.1915,0.255
0.0,0.0,1.0,0.53,0.16,0.316,0.164,0.335
0.0,0.0,1.0,0.53,0.14,0.3105,0.1675,0.205
0.0,0.0,1.0,0.605,0.16,0.4975,0.2405,0.345
1.0,0.0,0.0,0.52,0.155,0.291,0.1835,0.235
1.0,0.0,0.0,0.545,0.165,0.2935,0.183,0.28
1.0,0.0,0.0,0.5,0.125,0.261,0.1315,0.22
1.0,0.0,0.0,0.51,0.135,0.231,0.179,0.2
1.0,0.0,0.0,0.435,0.105,0.136,0.098,0.13
0.0,0.0,1.0,0.495,0.125,0.2375,0.1345,0.155
0.0,0.0,1.0,0.465,0.105,0.172,0.107,0.175
0.0,1.0,0.0,0.435,0.08,0.1485,0.0635,0.105
0.0,0.0,1.0,0.425,0.105,0.13,0.063,0.165
1.0,0.0,0.0,0.545,0.125,0.2975,0.146,0.21
1.0,0.0,0.0,0.53,0.115,0.233,0.1585,0.18
1.0,0.0,0.0,0.49,0.135,0.2555,0.102,0.22
0.0,0.0,1.0,0.44,0.105,0.1305,0.0955,0.165
1.0,0.0,0.0,0.56,0.15,0.3465,0.172,0.31
0.0,0.0,1.0,0.405,0.085,0.1145,0.0595,0.085
1.0,0.0,0.0,0.47,0.105,0.163,0.1035,0.14
0.0,1.0,0.0,0.385,0.085,0.103,0.0575,0.085
1.0,0.0,0.0,0.515,0.14,0.304,0.1725,0.255
0.0,0.0,1.0,0.37,0.075,0.09,0.051,0.07
0.0,1.0,0.0,0.36,0.08,0.081,0.0505,0.07
0.0,1.0,0.0,0.27,0.06,0.0285,0.0235,0.03
0.0,1.0,0.0,0.375,0.09,0.1075,0.0545,0.07
0.0,1.0,0.0,0.385,0.085,0.112,0.061,0.08
0.0,0.0,1.0,0.7,0.16,0.63,0.2635,0.54
0.0,0.0,1.0,0.71,0.165,0.7665,0.261,0.78
0.0,0.0,1.0,0.595,0.165,0.4835,0.283,0.41
1.0,0.0,0.0,0.44,0.125,0.175,0.063,0.129
1.0,0.0,0.0,0.325,0.09,0.085,0.036,0.062
0.0,1.0,0.0,0.35,0.095,0.086,0.056,0.068
0.0,1.0,0.0,0.265,0.065,0.04,0.0205,0.028
1.0,0.0,0.0,0.425,0.115,0.1635,0.081,0.1355
1.0,0.0,0.0,0.305,0.08,0.0675,0.0345,0.048
0.0,0.0,1.0,0.345,0.09,0.094,0.0295,0.063
1.0,0.0,0.0,0.405,0.11,0.151,0.063,0.117
0.0,0.0,1.0,0.375,0.095,0.096,0.0575,0.0925
1.0,0.0,0.0,0.565,0.155,0.341,0.2055,0.2475
1.0,0.0,0.0,0.55,0.145,0.295,0.1435,0.2665
0.0,0.0,1.0,0.65,0.19,0.519,0.306,0.4465
0.0,0.0,1.0,0.56,0.155,0.34,0.19,0.2425
0.0,0.0,1.0,0.475,0.13,0.2075,0.1165,0.17
1.0,0.0,0.0,0.49,0.125,0.245,0.1075,0.174
0.0,0.0,1.0,0.46,0.12,0.224,0.108,0.1565
0.0,1.0,0.0,0.28,0.08,0.052,0.039,0.042
0.0,1.0,0.0,0.175,0.055,0.0105,0.0065,0.0125
0.0,1.0,0.0,0.17,0.095,0.013,0.008,0.01
0.0,0.0,1.0,0.59,0.145,0.4415,0.262,0.325
1.0,0.0,0.0,0.605,0.185,0.469,0.2585,0.335
1.0,0.0,0.0,0.635,0.19,0.5065,0.305,0.45
1.0,0.0,0.0,0.605,0.16,0.37,0.2355,0.355
1.0,0.0,0.0,0.565,0.135,0.387,0.1495,0.31
0.0,0.0,1.0,0.515,0.13,0.32,0.131,0.21
1.0,0.0,0.0,0.575,0.19,0.392,0.2425,0.34
0.0,0.0,1.0,0.645,0.215,0.546,0.2615,0.635
1.0,0.0,0.0,0.58,0.17,0.374,0.2135,0.285
1.0,0.0,0.0,0.575,0.165,0.2985,0.1785,0.44
0.0,0.0,1.0,0.605,0.165,0.4215,0.2475,0.34
1.0,0.0,0.0,0.605,0.16,0.53,0.2575,0.28
0.0,0.0,1.0,0.61,0.175,0.544,0.297,0.345
1.0,0.0,0.0,0.725,0.21,0.65,0.398,1.005
1.0,0.0,0.0,0.65,0.23,0.5605,0.2895,0.815
0.0,0.0,1.0,0.725,0.19,1.0705,0.483,0.725
1.0,0.0,0.0,0.725,0.175,0.765,0.4515,0.85
1.0,0.0,0.0,0.68,0.205,0.625,0.408,0.65
0.0,0.0,1.0,0.705,0.22,0.8175,0.3085,0.76
1.0,0.0,0.0,0.68,0.175,0.5125,0.409,0.62
0.0,0.0,1.0,0.695,0.215,0.7125,0.541,0.59
1.0,0.0,0.0,0.53,0.145,0.308,0.169,0.255
0.0,0.0,1.0,0.525,0.155,0.486,0.233,0.285
1.0,0.0,0.0,0.52,0.115,0.32,0.1845,0.22
0.0,1.0,0.0,0.235,0.04,0.0185,0.018,0.015
0.0,1.0,0.0,0.36,0.09,0.0645,0.037,0.075
0.0,1.0,0.0,0.315,0.06,0.06,0.0375,0.035
0.0,1.0,0.0,0.315,0.085,0.053,0.0475,0.05
0.0,1.0,0.0,0.225,0.045,0.025,0.015,0.015
0.0,0.0,1.0,0.58,0.15,0.385,0.2165,0.35
0.0,0.0,1.0,0.57,0.18,0.399,0.2,0.295
0.0,0.0,1.0,0.64,0.175,0.515,0.266,0.57
1.0,0.0,0.0,0.56,0.16,0.429,0.268,0.3
1.0,0.0,0.0,0.62,0.175,0.4355,0.214,0.325
1.0,0.0,0.0,0.645,0.2,0.621,0.367,0.46
0.0,0.0,1.0,0.62,0.19,0.5455,0.2965,0.355
1.0,0.0,0.0,0.63,0.15,0.392,0.336,0.285
1.0,0.0,0.0,0.63,0.185,0.54,0.3315,0.38
1.0,0.0,0.0,0.63,0.16,0.5265,0.335,0.315
1.0,0.0,0.0,0.585,0.17,0.365,0.271,0.29
0.0,0.0,1.0,0.615,0.18,0.4845,0.2165,0.325
0.0,0.0,1.0,0.61,0.17,0.419,0.2405,0.36
0.0,0.0,1.0,0.58,0.15,0.276,0.1815,0.36
0.0,1.0,0.0,0.355,0.085,0.092,0.06,0.15
1.0,0.0,0.0,0.51,0.14,0.459,0.1965,0.195
0.0,0.0,1.0,0.5,0.155,0.346,0.1535,0.245
1.0,0.0,0.0,0.505,0.15,0.285,0.145,0.21
0.0,0.0,1.0,0.64,0.185,0.4445,0.2635,0.465
0.0,0.0,1.0,0.56,0.16,0.432,0.178,0.26
0.0,0.0,1.0,0.585,0.185,0.3635,0.213,0.285
1.0,0.0,0.0,0.45,0.12,0.1655,0.095,0.135
0.0,0.0,1.0,0.5,0.165,0.254,0.205,0.285
1.0,0.0,0.0,0.5,0.145,0.234,0.1465,0.23
1.0,0.0,0.0,0.53,0.17,0.2985,0.155,0.275
0.0,0.0,1.0,0.42,0.115,0.171,0.071,0.12
1.0,0.0,0.0,0.44,0.14,0.186,0.1085,0.16
0.0,1.0,0.0,0.4,0.11,0.109,0.067,0.12
0.0,1.0,0.0,0.435,0.11,0.1495,0.085,0.12
1.0,0.0,0.0,0.525,0.17,0.2755,0.1685,0.31
0.0,1.0,0.0,0.37,0.095,0.122,0.052,0.08
1.0,0.0,0.0,0.49,0.145,0.1995,0.1625,0.22
0.0,0.0,1.0,0.335,0.09,0.0755,0.0415,0.06
1.0,0.0,0.0,0.415,0.105,0.1595,0.0785,0.12
0.0,0.0,1.0,0.5,0.14,0.241,0.1355,0.205
1.0,0.0,0.0,0.485,0.16,0.2475,0.128,0.235
0.0,0.0,1.0,0.55,0.14,0.244,0.1635,0.255
0.0,0.0,1.0,0.45,0.13,0.174,0.111,0.135
0.0,1.0,0.0,0.405,0.12,0.1265,0.07,0.11
0.0,0.0,1.0,0.47,0.135,0.1665,0.115,0.165
1.0,0.0,0.0,0.415,0.13,0.1305,0.0755,0.105
1.0,0.0,0.0,0.445,0.125,0.1785,0.1125,0.14
1.0,0.0,0.0,0.47,0.145,0.187,0.1235,0.18
1.0,0.0,0.0,0.49,0.15,0.22,0.144,0.19
1.0,0.0,0.0,0.445,0.15,0.181,0.125,0.155
0.0,1.0,0.0,0.425,0.105,0.1285,0.0785,0.1
1.0,0.0,0.0,0.5,0.135,0.1715,0.1055,0.155
1.0,0.0,0.0,0.39,0.125,0.121,0.082,0.09
0.0,1.0,0.0,0.365,0.085,0.078,0.0485,0.07
1.0,0.0,0.0,0.58,0.165,0.404,0.2095,0.35
1.0,0.0,0.0,0.53,0.16,0.2935,0.158,0.245
0.0,0.0,1.0,0.555,0.135,0.336,0.1625,0.275
0.0,0.0,1.0,0.565,0.175,0.31,0.193,0.325
0.0,0.0,1.0,0.625,0.215,0.496,0.287,0.435
0.0,1.0,0.0,0.275,0.075,0.0485,0.029,0.035
0.0,1.0,0.0,0.44,0.135,0.1815,0.083,0.125
0.0,1.0,0.0,0.295,0.08,0.0485,0.032,0.04
0.0,1.0,0.0,0.075,0.01,0.001,0.0005,0.0015
0.0,1.0,0.0,0.13,0.03,0.0045,0.003,0.004
0.0,1.0,0.0,0.11,0.03,0.0025,0.002,0.003
0.0,1.0,0.0,0.16,0.035,0.0075,0.0045,0.005
0.0,0.0,1.0,0.565,0.16,0.3495,0.2185,0.275
0.0,1.0,0.0,0.27,0.07,0.034,0.0245,0.035
0.0,1.0,0.0,0.23,0.065,0.026,0.0105,0.02
0.0,1.0,0.0,0.3,0.08,0.0435,0.0265,0.04
0.0,1.0,0.0,0.33,0.085,0.063,0.039,0.06
0.0,1.0,0.0,0.35,0.085,0.0705,0.0345,0.06
0.0,1.0,0.0,0.32,0.08,0.0635,0.0325,0.05
0.0,1.0,0.0,0.36,0.085,0.0745,0.0415,0.07
0.0,1.0,0.0,0.305,0.075,0.0675,0.038,0.045
0.0,1.0,0.0,0.345,0.11,0.082,0.0545,0.07
0.0,1.0,0.0,0.33,0.105,0.0655,0.035,0.06
0.0,0.0,1.0,0.59,0.18,0.4205,0.2805,0.36
1.0,0.0,0.0,0.595,0.155,0.5135,0.2165,0.3
1.0,0.0,0.0,0.575,0.185,0.4485,0.217,0.345
0.0,0.0,1.0,0.6,0.165,0.485,0.2775,0.34
0.0,0.0,1.0,0.56,0.175,0.3835,0.2065,0.37
0.0,0.0,1.0,0.56,0.185,0.3805,0.175,0.41
0.0,0.0,1.0,0.545,0.16,0.341,0.1655,0.345
1.0,0.0,0.0,0.635,0.17,0.605,0.297,0.365
1.0,0.0,0.0,0.59,0.16,0.4775,0.2555,0.295
1.0,0.0,0.0,0.54,0.155,0.394,0.194,0.26
1.0,0.0,0.0,0.57,0.125,0.3675,0.1725,0.27
0.0,0.0,1.0,0.53,0.165,0.319,0.239,0.245
0.0,1.0,0.0,0.245,0.06,0.0445,0.0245,0.026
0.0,0.0,1.0,0.27,0.08,0.0465,0.028,0.04
1.0,0.0,0.0,0.46,0.13,0.3,0.1525,0.16
0.0,0.0,1.0,0.52,0.15,0.3615,0.186,0.235
0.0,0.0,1.0,0.35,0.11,0.1225,0.0635,0.0905
0.0,0.0,1.0,0.47,0.15,0.2185,0.0885,0.255
1.0,0.0,0.0,0.45,0.125,0.2035,0.1,0.17
1.0,0.0,0.0,0.64,0.215,0.4535,0.2855,0.55
0.0,0.0,1.0,0.59,0.2,0.412,0.2705,0.37
0.0,0.0,1.0,0.62,0.205,0.3875,0.2505,0.385
0.0,0.0,1.0,0.63,0.225,0.56,0.3335,0.45
0.0,0.0,1.0,0.63,0.155,0.4105,0.197,0.41
0.0,0.0,1.0,0.655,0.215,0.7425,0.327,0.585
1.0,0.0,0.0,0.66,0.185,0.493,0.245,0.49
0.0,0.0,1.0,0.61,0.24,0.532,0.3345,0.69
0.0,0.0,1.0,0.635,0.205,0.55,0.3115,0.43
1.0,0.0,0.0,0.515,0.135,0.2665,0.1605,0.25
1.0,0.0,0.0,0.535,0.185,0.314,0.1585,0.3
0.0,1.0,0.0,0.36,0.105,0.0915,0.057,0.075
1.0,0.0,0.0,0.455,0.12,0.177,0.104,0.15
0.0,0.0,1.0,0.485,0.14,0.2285,0.127,0.225
0.0,0.0,1.0,0.515,0.175,0.325,0.158,0.31
1.0,0.0,0.0,0.535,0.17,0.295,0.1965,0.285
0.0,0.0,1.0,0.53,0.155,0.288,0.1595,0.205
1.0,0.0,0.0,0.495,0.155,0.242,0.1325,0.205
0.0,0.0,1.0,0.44,0.125,0.132,0.0815,0.19
1.0,0.0,0.0,0.535,0.16,0.3155,0.1795,0.24
0.0,0.0,1.0,0.54,0.18,0.3835,0.226,0.325
1.0,0.0,0.0,0.565,0.21,0.501,0.279,0.355
0.0,0.0,1.0,0.61,0.165,0.428,0.2205,0.315
1.0,0.0,0.0,0.565,0.175,0.342,0.207,0.35
0.0,0.0,1.0,0.6,0.195,0.384,0.19,0.375
0.0,1.0,0.0,0.295,0.085,0.049,0.034,0.04
0.0,1.0,0.0,0.275,0.075,0.045,0.0285,0.035
0.0,1.0,0.0,0.28,0.085,0.039,0.0295,0.03
0.0,0.0,1.0,0.49,0.14,0.2215,0.1275,0.15
0.0,0.0,1.0,0.37,0.105,0.0905,0.0585,0.075
1.0,0.0,0.0,0.405,0.095,0.1455,0.0895,0.1
1.0,0.0,0.0,0.54,0.175,0.322,0.174,0.335
0.0,0.0,1.0,0.37,0.1,0.1065,0.0595,0.074
0.0,0.0,1.0,0.36,0.1,0.0885,0.0495,0.0715
1.0,0.0,0.0,0.47,0.13,0.182,0.114,0.15
0.0,1.0,0.0,0.2,0.06,0.0125,0.0095,0.011
0.0,1.0,0.0,0.165,0.03,0.007,0.005,0.005
0.0,0.0,1.0,0.645,0.24,0.471,0.369,0.535
0.0,0.0,1.0,0.55,0.125,0.2505,0.1635,0.195
0.0,0.0,1.0,0.57,0.145,0.3925,0.2355,0.275
1.0,0.0,0.0,0.63,0.19,0.4635,0.3055,0.39
0.0,0.0,1.0,0.56,0.14,0.443,0.2045,0.265
0.0,0.0,1.0,0.595,0.195,0.4595,0.3235,0.345
1.0,0.0,0.0,0.62,0.2,0.381,0.27,0.435
0.0,0.0,1.0,0.63,0.175,0.4335,0.2945,0.46
0.0,1.0,0.0,0.45,0.11,0.194,0.067,0.14
1.0,0.0,0.0,0.635,0.19,0.576,0.2475,0.39
0.0,0.0,1.0,0.45,0.1,0.1465,0.1015,0.12
1.0,0.0,0.0,0.58,0.155,0.315,0.1385,0.32
0.0,1.0,0.0,0.33,0.095,0.066,0.0255,0.06
0.0,1.0,0.0,0.265,0.06,0.0425,0.022,0.03
0.0,1.0,0.0,0.19,0.04,0.0165,0.0065,0.015
0.0,0.0,1.0,0.385,0.1,0.1065,0.075,0.1
0.0,1.0,0.0,0.265,0.07,0.039,0.041,0.035
0.0,0.0,1.0,0.335,0.105,0.0935,0.056,0.075
0.0,1.0,0.0,0.355,0.09,0.097,0.053,0.08
0.0,1.0,0.0,0.32,0.1,0.073,0.0415,0.065
0.0,0.0,1.0,0.51,0.13,0.27,0.1665,0.205
0.0,0.0,1.0,0.36,0.105,0.0865,0.053,0.095
0.0,1.0,0.0,0.36,0.09,0.0885,0.04,0.09
0.0,0.0,1.0,0.5,0.155,0.2135,0.161,0.2
1.0,0.0,0.0,0.4,0.12,0.134,0.0565,0.095
0.0,1.0,0.0,0.3,0.08,0.0475,0.042,0.035
0.0,1.0,0.0,0.235,0.04,0.0335,0.015,0.02
1.0,0.0,0.0,0.74,0.195,0.598,0.4085,0.71
0.0,0.0,1.0,0.62,0.19,0.5705,0.3175,0.355
0.0,0.0,1.0,0.6,0.19,0.403,0.2655,0.325
0.0,0.0,1.0,0.59,0.185,0.473,0.276,0.425
0.0,0.0,1.0,0.62,0.185,0.6045,0.325,0.33
1.0,0.0,0.0,0.565,0.195,0.406,0.2505,0.285
0.0,0.0,1.0,0.575,0.145,0.581,0.2275,0.3
1.0,0.0,0.0,0.62,0.205,0.4775,0.2565,0.48
0.0,0.0,1.0,0.62,0.185,0.579,0.3065,0.32
1.0,0.0,0.0,0.505,0.18,0.2325,0.1495,0.17
1.0,0.0,0.0,0.46,0.155,0.3005,0.152,0.24
0.0,0.0,1.0,0.49,0.14,0.2795,0.2185,0.18
1.0,0.0,0.0,0.525,0.16,0.2745,0.173,0.275
0.0,1.0,0.0,0.34,0.08,0.08,0.0555,0.055
0.0,1.0,0.0,0.375,0.115,0.092,0.074,0.09
0.0,0.0,1.0,0.61,0.15,0.56,0.2455,0.28
1.0,0.0,0.0,0.61,0.185,0.536,0.2905,0.245
1.0,0.0,0.0,0.585,0.17,0.3325,0.1635,0.27
0.0,0.0,1.0,0.57,0.14,0.4465,0.2065,0.245
0.0,0.0,1.0,0.58,0.17,0.408,0.259,0.22
0.0,0.0,1.0,0.635,0.17,0.509,0.286,0.34
0.0,0.0,1.0,0.7,0.205,0.7415,0.49,0.58
0.0,0.0,1.0,0.675,0.185,0.6935,0.336,0.395
1.0,0.0,0.0,0.645,0.19,0.7035,0.3885,0.395
0.0,0.0,1.0,0.745,0.215,0.9265,0.472,0.7
1.0,0.0,0.0,0.685,0.18,0.7495,0.392,0.485
0.0,0.0,1.0,0.605,0.18,0.48,0.287,0.35
1.0,0.0,0.0,0.59,0.15,0.392,0.246,0.34
1.0,0.0,0.0,0.65,0.175,0.61,0.2995,0.445
1.0,0.0,0.0,0.6,0.15,0.4085,0.2705,0.295
1.0,0.0,0.0,0.62,0.175,0.4985,0.3015,0.35
0.0,0.0,1.0,0.63,0.16,0.4215,0.244,0.355
0.0,0.0,1.0,0.58,0.145,0.4405,0.1655,0.265
1.0,0.0,0.0,0.58,0.12,0.479,0.2735,0.265
0.0,0.0,1.0,0.63,0.18,0.458,0.2765,0.315
1.0,0.0,0.0,0.69,0.215,0.68,0.299,0.47
1.0,0.0,0.0,0.65,0.165,0.6645,0.3455,0.415
1.0,0.0,0.0,0.66,0.195,0.692,0.3265,0.5
1.0,0.0,0.0,0.68,0.2,0.585,0.453,0.6
1.0,0.0,0.0,0.7,0.17,0.5095,0.314,0.42
0.0,0.0,1.0,0.685,0.15,0.4635,0.292,0.4
1.0,0.0,0.0,0.675,0.195,0.6845,0.3695,0.605
0.0,0.0,1.0,0.63,0.19,0.4935,0.3365,0.285
1.0,0.0,0.0,0.585,0.16,0.4995,0.2875,0.25
0.0,0.0,1.0,0.565,0.175,0.3895,0.183,0.37
1.0,0.0,0.0,0.61,0.185,0.3705,0.3135,0.33
0.0,0.0,1.0,0.605,0.18,0.3755,0.2805,0.385
0.0,0.0,1.0,0.535,0.145,0.33,0.189,0.25
0.0,0.0,1.0,0.485,0.135,0.313,0.137,0.2
0.0,0.0,1.0,0.47,0.12,0.226,0.122,0.195
0.0,0.0,1.0,0.545,0.135,0.373,0.21,0.235
1.0,0.0,0.0,0.455,0.105,0.216,0.1245,0.135
0.0,0.0,1.0,0.54,0.155,0.3515,0.152,0.215
0.0,0.0,1.0,0.46,0.135,0.207,0.1225,0.145
0.0,0.0,1.0,0.49,0.125,0.239,0.1435,0.22
0.0,1.0,0.0,0.465,0.12,0.222,0.119,0.14
0.0,1.0,0.0,0.415,0.1,0.1535,0.0595,0.105
0.0,0.0,1.0,0.475,0.125,0.277,0.115,0.18
1.0,0.0,0.0,0.47,0.125,0.252,0.137,0.18
0.0,1.0,0.0,0.365,0.095,0.1075,0.0545,0.08
0.0,1.0,0.0,0.345,0.095,0.0755,0.0535,0.07
0.0,1.0,0.0,0.39,0.1,0.116,0.064,0.115
1.0,0.0,0.0,0.5,0.14,0.3165,0.176,0.24
0.0,0.0,1.0,0.47,0.145,0.2385,0.144,0.185
0.0,0.0,1.0,0.535,0.15,0.256,0.139,0.26
0.0,0.0,1.0,0.585,0.15,0.4355,0.2075,0.31
1.0,0.0,0.0,0.485,0.12,0.27,0.131,0.175
0.0,0.0,1.0,0.515,0.135,0.295,0.1625,0.235
1.0,0.0,0.0,0.435,0.11,0.178,0.0985,0.155
1.0,0.0,0.0,0.515,0.14,0.3115,0.152,0.2
0.0,1.0,0.0,0.44,0.12,0.1655,0.083,0.11
1.0,0.0,0.0,0.525,0.15,0.3685,0.1985,0.24
0.0,0.0,1.0,0.45,0.115,0.2125,0.1045,0.15
0.0,0.0,1.0,0.59,0.12,0.39,0.182,0.29
0.0,0.0,1.0,0.555,0.145,0.4,0.246,0.285
0.0,0.0,1.0,0.57,0.095,0.3395,0.2215,0.235
0.0,0.0,1.0,0.59,0.165,0.4565,0.2425,0.34
0.0,0.0,1.0,0.585,0.12,0.41,0.2115,0.28
1.0,0.0,0.0,0.58,0.12,0.4625,0.2385,0.28
0.0,0.0,1.0,0.545,0.12,0.3475,0.1715,0.24
1.0,0.0,0.0,0.605,0.17,0.528,0.2465,0.39
1.0,0.0,0.0,0.62,0.14,0.3605,0.224,0.36
1.0,0.0,0.0,0.63,0.17,0.5595,0.267,0.4
0.0,0.0,1.0,0.63,0.165,0.488,0.349,0.45
1.0,0.0,0.0,0.63,0.155,0.367,0.199,0.36
0.0,0.0,1.0,0.545,0.14,0.223,0.16,0.235
1.0,0.0,0.0,0.67,0.165,0.518,0.358,0.505
0.0,1.0,0.0,0.49,0.12,0.2165,0.139,0.155
